,dataset,model,accuracy
0,ArrowHead,fc,0.5982857142857143
1,ArrowHead,model_contrastive,0.5954285714285714
2,ArrowHead,model_s,0.6062857142857143
3,ArrowHead,model_xs,0.5994285714285714
4,ArrowHead,sax,0.6142857142857142
5,Plane,fc,0.9533333333333334
6,Plane,model_contrastive,0.9628571428571429
7,Plane,model_s,0.9352380952380953
8,Plane,model_xs,0.9285714285714286
9,Plane,sax,0.9342857142857144
10,Rock,fc,0.61
11,Rock,model_contrastive,0.636
12,Rock,model_s,0.662
13,Rock,model_xs,0.548
14,Rock,sax,0.386
15,Wine,fc,0.575925925925926
16,Wine,model_contrastive,0.5833333333333333
17,Wine,model_s,0.4666666666666667
18,Wine,model_xs,0.46296296296296297
19,Wine,sax,0.5425925925925925
