,dataset,model,accuracy,f1,precision,recall
0,ArrowHead,fc,0.5874285714285714,0.5775298196466141,0.6241561919155485,0.5863093610427491
1,ArrowHead,sax,0.6371428571428571,0.6348287096691714,0.6468297372486872,0.6382554006015859
2,ArrowHead,xxxs,0.6331428571428571,0.6266952383352576,0.6293892816138733,0.6253942211284296
3,ArrowHead,xxxs1,0.5388571428571429,0.5304632670785854,0.5521287092219953,0.5302251390028256
4,ArrowHead,xxxs_p2s,0.3942857142857143,0.1885245901639344,0.13142857142857142,0.3333333333333333
5,Plane,fc,0.96,0.9619249494932708,0.9630607627666452,0.9645823329331733
6,Plane,sax,0.9447619047619048,0.9461370358787342,0.9486352711301033,0.9485034013605442
7,Plane,xxxs,0.8371428571428572,0.8430665271210733,0.8552526490905527,0.8601515606242497
8,Plane,xxxs1,0.8428571428571429,0.8294110121478294,0.8311362822641017,0.8482142857142858
9,Plane,xxxs_p2s,0.09523809523809523,0.024844720496894408,0.013605442176870746,0.14285714285714285
10,Rock,fc,0.616,0.6087314344383457,0.6069424746687332,0.6619047619047619
11,Rock,sax,0.392,0.419388221841052,0.6623717948717948,0.4392857142857142
12,Rock,xxxs,0.42000000000000004,0.14788732394366197,0.10500000000000001,0.25
13,Rock,xxxs1,0.42000000000000004,0.14788732394366197,0.10500000000000001,0.25
14,Rock,xxxs_p2s,0.6,0.4524630541871922,0.5737100737100738,0.5138888888888888
15,Wine,fc,0.5740740740740741,0.5715159602861108,0.5757696581118741,0.5740740740740741
16,Wine,sax,0.5611111111111111,0.5446438808874243,0.567480874388769,0.5611111111111111
17,Wine,xxxs,0.5,0.3333333333333333,0.25,0.5
18,Wine,xxxs1,0.5,0.3333333333333333,0.25,0.5
19,Wine,xxxs_p2s,0.5,0.3333333333333333,0.25,0.5
20,p2s,fc,0.8215889464594127,0.8214692299148393,0.8224826896045279,0.8215889464594127
21,p2s,sax,0.7599309153713298,0.7589410416379012,0.7642150774978657,0.7599309153713298
22,p2s,xxxs,0.929447322970639,0.9292820353292468,0.9318728104310244,0.929447322970639
23,p2s,xxxs1,0.863126079447323,0.8630902943623783,0.863514831507042,0.863126079447323
24,p2s,xxxs_p2s,0.9122625215889464,0.9117097741889232,0.9228472152498801,0.9122625215889464
